18;Plagioclase;458;0.35;12800.0
19;Spodumain;461;16.0;1149400.0
20;Kernite;457;1.2;74916.0
21;Hedbergite;454;3.0;337408.0
22;Arkonor;450;16;3068504
25;Corpse Male;14;2;0
34;Tritanium;18;0.01;2.0
35;Pyerite;18;0.01;8.0
36;Mexallon;18;0.01;32.0
37;Isogen;18;0.01;128.0
38;Nocxium;18;0.01;512.0
39;Zydrine;18;0.01;2048.0
40;Megacyte;18;0.01;8192.0
41;Garbage;280;0.25;20.0
42;Spiced Wine;280;0.5;1500.0
43;Antibiotics;280;0.2;325.0
44;Enriched Uranium;1034;1.5;5000.0
45;Frozen Plant Seeds;281;0.5;75.0
178;Carbonized Lead S;83;0.0025;200.0
179;Nuclear S;83;0.0025;300.0
180;Proton S;83;0.0025;400.0
181;Depleted Uranium S;83;0.0025;500.0
182;Titanium Sabot S;83;0.0025;600.0
183;Fusion S;83;0.0025;700.0
184;Phased Plasma S;83;0.0025;800.0
185;EMP S;83;0.0025;1000.0
186;Carbonized Lead M;83;0.0125;800.0
187;Nuclear M;83;0.0125;1200.0
188;Proton M;83;0.0125;1650.0
189;Depleted Uranium M;83;0.0125;2050.0
190;Titanium Sabot M;83;0.0125;2350.0
191;Fusion M;83;0.0125;2750.0
192;Phased Plasma M;83;0.0125;3250.0
193;EMP M;83;0.0125;4000.0
194;Carbonized Lead L;83;0.025;2000.0
195;Nuclear L;83;0.025;3000.0
196;Proton L;83;0.025;4000.0
197;Depleted Uranium L;83;0.025;5000.0
198;Titanium Sabot L;83;0.025;6000.0
199;Fusion L;83;0.025;7000.0
200;Phased Plasma L;83;0.025;8000.0
201;EMP L;83;0.025;10000.0
202;Mjolnir Cruise Missile;386;0.05;15000.0
203;Scourge Cruise Missile;386;0.05;10000.0
204;Inferno Cruise Missile;386;0.05;12500.0
205;Nova Cruise Missile;386;0.05;7500.0
206;Nova Heavy Missile;385;0.03;2000.0
207;Mjolnir Heavy Missile;385;0.03;3500.0
208;Inferno Heavy Missile;385;0.03;3000.0
209;Scourge Heavy Missile;385;0.03;2500.0
210;Scourge Light Missile;384;0.015;500.0
211;Inferno Light Missile;384;0.015;624.0
212;Mjolnir Light Missile;384;0.015;750.0
213;Nova Light Missile;384;0.015;370.0
215;Iron Charge S;85;0.0025;200.0
216;Tungsten Charge S;85;0.0025;300.0
217;Iridium Charge S;85;0.0025;400.0
218;Lead Charge S;85;0.0025;500.0
219;Thorium Charge S;85;0.0025;600.0
220;Uranium Charge S;85;0.0025;700.0
221;Plutonium Charge S;85;0.0025;800.0
222;Antimatter Charge S;85;0.0025;1000.0
223;Iron Charge M;85;0.0125;800.0
224;Tungsten Charge M;85;0.0125;1100.0
225;Iridium Charge M;85;0.0125;1500.0
226;Lead Charge M;85;0.0125;1750.0
227;Thorium Charge M;85;0.0125;2250.0
228;Uranium Charge M;85;0.0125;2750.0
229;Plutonium Charge M;85;0.0125;3250.0
230;Antimatter Charge M;85;0.0125;4000.0
231;Iron Charge L;85;0.025;2000.0
232;Tungsten Charge L;85;0.025;3000.0
233;Iridium Charge L;85;0.025;4000.0
234;Lead Charge L;85;0.025;5000.0
235;Thorium Charge L;85;0.025;6000.0
236;Uranium Charge L;85;0.025;7000.0
237;Plutonium Charge L;85;0.025;8000.0
238;Antimatter Charge L;85;0.025;10000.0
239;Radio S;86;1.0;0
