18;Plagioclase;458;0.35
19;Spodumain;461;16.0
20;Kernite;457;1.2
21;Hedbergite;454;3.0
22;Arkonor;450;16.0
25;Corpse Male;14;2
34;Tritanium;18;0.01
35;Pyerite;18;0.01
36;Mexallon;18;0.01
37;Isogen;18;0.01
38;Nocxium;18;0.01
39;Zydrine;18;0.01
40;Megacyte;18;0.01
41;Garbage;280;0.25
42;Spiced Wine;280;0.5
43;Antibiotics;280;0.2
44;Enriched Uranium;1034;1.5
45;Frozen Plant Seeds;281;0.5
178;Carbonized Lead S;83;0.0025
179;Nuclear S;83;0.0025
180;Proton S;83;0.0025
181;Depleted Uranium S;83;0.0025
182;Titanium Sabot S;83;0.0025
183;Fusion S;83;0.0025
184;Phased Plasma S;83;0.0025
185;EMP S;83;0.0025
186;Carbonized Lead M;83;0.0125
187;Nuclear M;83;0.0125
188;Proton M;83;0.0125
189;Depleted Uranium M;83;0.0125
190;Titanium Sabot M;83;0.0125
191;Fusion M;83;0.0125
192;Phased Plasma M;83;0.0125
193;EMP M;83;0.0125
194;Carbonized Lead L;83;0.025
195;Nuclear L;83;0.025
196;Proton L;83;0.025
197;Depleted Uranium L;83;0.025
198;Titanium Sabot L;83;0.025
199;Fusion L;83;0.025
200;Phased Plasma L;83;0.025
201;EMP L;83;0.025
202;Mjolnir Cruise Missile;386;0.05
203;Scourge Cruise Missile;386;0.05
204;Inferno Cruise Missile;386;0.05
205;Nova Cruise Missile;386;0.05
206;Nova Heavy Missile;385;0.03
207;Mjolnir Heavy Missile;385;0.03
208;Inferno Heavy Missile;385;0.03
209;Scourge Heavy Missile;385;0.03
210;Scourge Light Missile;384;0.015
211;Inferno Light Missile;384;0.015
212;Mjolnir Light Missile;384;0.015
213;Nova Light Missile;384;0.015
215;Iron Charge S;85;0.0025
216;Tungsten Charge S;85;0.0025
217;Iridium Charge S;85;0.0025
218;Lead Charge S;85;0.0025
219;Thorium Charge S;85;0.0025
220;Uranium Charge S;85;0.0025
221;Plutonium Charge S;85;0.0025
222;Antimatter Charge S;85;0.0025
223;Iron Charge M;85;0.0125
224;Tungsten Charge M;85;0.0125
225;Iridium Charge M;85;0.0125
226;Lead Charge M;85;0.0125
227;Thorium Charge M;85;0.0125
228;Uranium Charge M;85;0.0125
229;Plutonium Charge M;85;0.0125
230;Antimatter Charge M;85;0.0125
231;Iron Charge L;85;0.025
232;Tungsten Charge L;85;0.025
233;Iridium Charge L;85;0.025
234;Lead Charge L;85;0.025
235;Thorium Charge L;85;0.025
236;Uranium Charge L;85;0.025
237;Plutonium Charge L;85;0.025
238;Antimatter Charge L;85;0.025
239;Radio S;86;1.0
240;Microwave S;86;1.0
241;Infrared S;86;1.0
242;Standard S;86;1.0
243;Ultraviolet S;86;1.0
244;Xray S;86;1.0
245;Gamma S;86;1.0
246;Multifrequency S;86;1.0
247;Radio M;86;1.0
248;Microwave M;86;1.0
249;Infrared M;86;1.0
250;Standard M;86;1.0
251;Ultraviolet M;86;1.0
252;Xray M;86;1.0
253;Gamma M;86;1.0
254;Multifrequency M;86;1.0
255;Radio L;86;1.0
256;Microwave L;86;1.0
257;Infrared L;86;1.0
258;Standard L;86;1.0
259;Ultraviolet L;86;1.0
260;Xray L;86;1.0
261;Gamma L;86;1.0
262;Multifrequency L;86;1.0
263;Cap Booster 25;87;1.0
264;Cap Booster 50;87;2.0
266;Scourge Rocket;387;0.005
267;Scourge Torpedo;89;0.05
269;Mjolnir Auto-Targeting Light Missile I;394;0.015
377;Small Shield Extender I;38;5.0
380;Small Shield Extender II;38;5.0
393;Shield Recharger I;39;5.0
394;Shield Recharger II;39;5.0
399;Small Shield Booster I;40;5.0
400;Small Shield Booster II;40;5.0
405;'Micro' Remote Shield Booster;41;2.5
421;'Basic' Capacitor Recharger;43;5.0
434;5MN Microwarpdrive I;46;10
438;1MN Afterburner II;46;5
439;1MN Afterburner I;46;5
440;5MN Microwarpdrive II;46;10
442;Cargo Scanner I;47;5.0
443;Ship Scanner I;48;5.0
444;Survey Scanner I;49;5.0
447;Warp Scrambler I;52;5.0
448;Warp Scrambler II;52;5.0
450;Gatling Pulse Laser I;53;5.0
451;Dual Light Pulse Laser I;53;5.0
452;Dual Light Beam Laser I;53;5.0
453;Small Focused Pulse Laser I;53;5.0
454;Small Focused Beam Laser I;53;5.0
455;Quad Light Beam Laser I;53;10.0
456;Focused Medium Pulse Laser I;53;10.0
457;Focused Medium Beam Laser I;53;10.0
458;Heavy Pulse Laser I;53;25.0
459;Heavy Beam Laser I;53;25.0
460;Dual Heavy Pulse Laser I;53;20.0
461;Dual Heavy Beam Laser I;53;50.0
462;Mega Pulse Laser I;53;50.0
463;Mega Beam Laser I;53;50.0
464;Tachyon Beam Laser I;53;50.0
482;Miner II;54;5.0
483;Miner I;54;5.0
484;125mm Gatling AutoCannon I;55;5.0
485;150mm Light AutoCannon I;55;5.0
486;200mm AutoCannon I;55;5.0
487;250mm Light Artillery Cannon I;55;5.0
488;280mm Howitzer Artillery I;55;5.0
489;Dual 180mm AutoCannon I;55;10.0
490;220mm Vulcan AutoCannon I;55;10.0
491;425mm AutoCannon I;55;10.0
492;650mm Artillery Cannon I;55;25.0
493;720mm Howitzer Artillery I;55;25.0
494;Dual 425mm AutoCannon I;55;20.0
495;Dual 650mm Repeating Cannon I;55;50.0
496;800mm Repeating Cannon I;55;25.0
497;1200mm Artillery Cannon I;55;50.0
498;1400mm Howitzer Artillery I;55;50.0
499;Light Missile Launcher I;509;5.0
501;Heavy Missile Launcher I;510;10.0
503;Torpedo Launcher I;508;20.0
506;'Basic' Capacitor Power Relay;767;5.0
508;'Basic' Shield Flux Coil;770;5
509;'Basic' Capacitor Flux Coil;768;5.0
518;'Basic' Gyrostabilizer;59;5
519;Gyrostabilizer II;59;5.0
520;Gyrostabilizer I;59;5.0
521;'Basic' Damage Control;60;5
522;'Micro' Cap Battery;61;2.5
523;Small Armor Repairer I;62;5.0
524;Small Hull Repairer I;63;12.5
526;Stasis Webifier I;65;5.0
527;Stasis Webifier II;65;5.0
529;Small Remote Capacitor Transmitter I;67;25.0
530;Small Energy Nosferatu I;68;5
533;Small Energy Neutralizer I;71;5.0
561;75mm Gatling Rail I;74;5.0
562;Light Electron Blaster I;74;5.0
563;Light Ion Blaster I;74;5.0
564;Light Neutron Blaster I;74;5.0
565;150mm Railgun I;74;5.0
566;Heavy Electron Blaster I;74;10.0
567;Dual 150mm Railgun I;74;10.0
568;Heavy Neutron Blaster I;74;25.0
569;Heavy Ion Blaster I;74;10.0
570;250mm Railgun I;74;25.0
571;Electron Blaster Cannon I;74;50.0
572;Dual 250mm Railgun I;74;20.0
573;Neutron Blaster Cannon I;74;50.0
574;425mm Railgun I;74;50.0
575;Ion Blaster Cannon I;74;50.0
577;Medium Capacitor Booster I;76;10.0
578;Adaptive Invulnerability Field I;77;20.0
580;Burst Jammer I;80;5
581;Passive Targeter I;82;25.0
582;Bantam;25;20000.0
583;Condor;25;18000.0
584;Griffin;25;19400.0
585;Slasher;25;17400.0
586;Probe;25;19500.0
587;Rifter;25;27289.0
588;Reaper;237;15800
589;Executioner;25;28100.0
590;Inquisitor;25;28700.0
591;Tormentor;25;24398.0
592;Navitas;25;10000.0
593;Tristan;25;26500.0
594;Incursus;25;29500.0
596;Impairor;237;28100
597;Punisher;25;28600.0
598;Breacher;25;20000.0
599;Burst;25;17100.0
601;Ibis;237;15000
602;Kestrel;25;19700.0
603;Merlin;25;16500.0
605;Heron;25;18900.0
606;Velator;237;24500
607;Imicus;25;21500.0
608;Atron;25;22500.0
609;Maulus;25;23000.0
615;Immolator;237;17400.0
617;Echo;237;17660.0
620;Osprey;26;107000.0
621;Caracal;26;92000.0
622;Stabber;26;80000.0
623;Moa;26;101000.0
624;Maller;26;118000.0
625;Augoror;26;115000.0
626;Vexor;26;115000.0
627;Thorax;26;112000.0
628;Arbitrator;26;120000.0
629;Rupture;26;96000.0
630;Bellicose;26;85000.0
631;Scythe;26;89000.0
632;Blackbird;26;96000.0
633;Celestis;26;116000.0
634;Exequror;26;113000.0
635;Opux Luxury Yacht;26;115000.0
638;Raven;27;486000.0
639;Tempest;27;450000.0
640;Scorpion;27;468000.0
641;Megathron;27;486000.0
642;Apocalypse;27;495000.0
643;Armageddon;27;486000.0
644;Typhoon;27;414000.0
645;Dominix;27;454500.0
648;Badger;28;250000
649;Tayra;28;270000.0
650;Nereus;28;240000.0
651;Hoarder;28;400000.0
652;Mammoth;28;255000.0
653;Wreathe;28;225000.0
654;Kryos;28;245000.0
655;Epithal;28;250000.0
656;Miasmos;28;265000.0
657;Iteron Mark V;28;275000.0
671;Erebus;30;145500000
672;Caldari Shuttle;31;5000.0
683;Bantam Blueprint;105;0.01
684;Condor Blueprint;105;0.01
685;Griffin Blueprint;105;0.01
686;Osprey Blueprint;106;0.01
687;Caracal Blueprint;106;0.01
688;Raven Blueprint;107;0.01
689;Slasher Blueprint;105;0.01
690;Probe Blueprint;105;0.01
691;Rifter Blueprint;105;0.01
692;Stabber Blueprint;106;0.01
693;Tempest Blueprint;107;0.01
784;Miner II Blueprint;134;0.01
785;Miner I Blueprint;134;0.01
786;Light Missile Launcher I Blueprint;136;0.01
788;Heavy Missile Launcher I Blueprint;136;0.01
790;Torpedo Launcher I Blueprint;136;0.01
803;Mjolnir Cruise Missile Blueprint;166;0.01
804;Scourge Cruise Missile Blueprint;166;0.01
805;Inferno Cruise Missile Blueprint;166;0.01
806;Nova Cruise Missile Blueprint;166;0.01
807;Nova Heavy Missile Blueprint;166;0.01
808;Mjolnir Heavy Missile Blueprint;166;0.01
809;Inferno Heavy Missile Blueprint;166;0.01
810;Scourge Heavy Missile Blueprint;166;0.01
811;Scourge Light Missile Blueprint;166;0.01
812;Inferno Light Missile Blueprint;166;0.01
813;Mjolnir Light Missile Blueprint;166;0.01
814;Nova Light Missile Blueprint;166;0.01
819;125mm Gatling AutoCannon I Blueprint;135;0.01
820;150mm Light AutoCannon I Blueprint;135;0.01
821;200mm AutoCannon I Blueprint;135;0.01
822;250mm Light Artillery Cannon I Blueprint;135;0.01
823;280mm Howitzer Artillery I Blueprint;135;0.01
824;Dual 180mm AutoCannon I Blueprint;135;0.01
825;220mm Vulcan AutoCannon I Blueprint;135;0.01
826;425mm AutoCannon I Blueprint;135;0.01
827;650mm Artillery Cannon I Blueprint;135;0.01
828;720mm Howitzer Artillery I Blueprint;135;0.01
829;Dual 425mm AutoCannon I Blueprint;135;0.01
830;Dual 650mm Repeating Cannon I Blueprint;135;0.01
831;800mm Repeating Cannon I Blueprint;135;0.01
832;1200mm Artillery Cannon I Blueprint;135;0.01
833;1400mm Howitzer Artillery I Blueprint;135;0.01
834;Gatling Pulse Laser I Blueprint;133;0.01
835;Dual Light Pulse Laser I Blueprint;133;0.01
836;Dual Light Beam Laser I Blueprint;133;0.01
837;Small Focused Pulse Laser I Blueprint;133;0.01
838;Small Focused Beam Laser I Blueprint;133;0.01
839;Quad Light Beam Laser I Blueprint;133;0.01
840;Focused Medium Pulse Laser I Blueprint;133;0.01
841;Focused Medium Beam Laser I Blueprint;133;0.01
842;Heavy Pulse Laser I Blueprint;133;0.01
843;Heavy Beam Laser I Blueprint;133;0.01
844;Dual Heavy Pulse Laser I Blueprint;133;0.01
845;Dual Heavy Beam Laser I Blueprint;133;0.01
846;Mega Pulse Laser I Blueprint;133;0.01
847;Mega Beam Laser I Blueprint;133;0.01
848;Tachyon Beam Laser I Blueprint;133;0.01
879;Carbonized Lead S Blueprint;165;0.01
880;Nuclear S Blueprint;165;0.01
881;Proton S Blueprint;165;0.01
882;Depleted Uranium S Blueprint;165;0.01
883;Titanium Sabot S Blueprint;165;0.01
884;Fusion S Blueprint;165;0.01
885;Phased Plasma S Blueprint;165;0.01
886;EMP S Blueprint;165;0.01
887;Carbonized Lead M Blueprint;165;0.01
888;Nuclear M Blueprint;165;0.01
889;Proton M Blueprint;165;0.01
890;Depleted Uranium M Blueprint;165;0.01
891;Titanium Sabot M Blueprint;165;0.01
892;Fusion M Blueprint;165;0.01
893;Phased Plasma M Blueprint;165;0.01
894;EMP M Blueprint;165;0.01
895;Carbonized Lead L Blueprint;165;0.01
896;Nuclear L Blueprint;165;0.01
897;Proton L Blueprint;165;0.01
898;Depleted Uranium L Blueprint;165;0.01
899;Titanium Sabot L Blueprint;165;0.01
900;Fusion L Blueprint;165;0.01
901;Phased Plasma L Blueprint;165;0.01
902;EMP L Blueprint;165;0.01
936;Executioner Blueprint;105;0.01
937;Inquisitor Blueprint;105;0.01
938;Tormentor Blueprint;105;0.01
939;Navitas Blueprint;105;0.01
940;Tristan Blueprint;105;0.01
941;Incursus Blueprint;105;0.01
944;Punisher Blueprint;105;0.01
945;Breacher Blueprint;105;0.01
946;Burst Blueprint;105;0.01
949;Kestrel Blueprint;105;0.01
950;Merlin Blueprint;105;0.01
952;Heron Blueprint;105;0.01
954;Imicus Blueprint;105;0.01
955;Atron Blueprint;105;0.01
956;Maulus Blueprint;105;0.01
967;Caldari Shuttle Blueprint;111;0.01
968;Moa Blueprint;106;0.01
969;Maller Blueprint;106;0.01
970;Augoror Blueprint;106;0.01
971;Vexor Blueprint;106;0.01
972;Thorax Blueprint;106;0.01
973;Arbitrator Blueprint;106;0.01
974;Rupture Blueprint;106;0.01
975;Bellicose Blueprint;106;0.01
976;Scythe Blueprint;106;0.01
977;Blackbird Blueprint;106;0.01
978;Celestis Blueprint;106;0.01
979;Exequror Blueprint;106;0.01
983;Badger Blueprint;108;0.01
984;Tayra Blueprint;108;0.01
985;Nereus Blueprint;108;0.01
986;Hoarder Blueprint;108;0.01
987;Mammoth Blueprint;108;0.01
988;Wreathe Blueprint;108;0.01
989;Kryos Blueprint;108;0.01
990;Epithal Blueprint;108;0.01
991;Miasmos Blueprint;108;0.01
992;Iteron Mark V Blueprint;108;0.01
994;Scorpion Blueprint;107;0.01
995;Megathron Blueprint;107;0.01
996;Apocalypse Blueprint;107;0.01
997;Armageddon Blueprint;107;0.01
998;Typhoon Blueprint;107;0.01
999;Dominix Blueprint;107;0.01
1002;Erebus Blueprint;110;0.01
1010;Small Shield Extender I Blueprint;118;0.01
1013;Small Shield Extender II Blueprint;118;0.01
1026;Shield Recharger I Blueprint;119;0.01
1027;Shield Recharger II Blueprint;119;0.01
1032;Small Shield Booster I Blueprint;120;0.01
1033;Small Shield Booster II Blueprint;120;0.01
